192.198.125.81		80
192.198.125.82		80
192.198.125.83		80
192.198.125.84		80
192.198.125.85		80
192.198.125.86		80
192.198.125.87		80
192.198.125.88		80
192.198.125.89		80
192.198.125.90		80
192.198.125.91		80
192.198.125.92		80
192.198.125.93		80
192.198.125.94		80
192.198.125.95		80
192.198.125.96		80
192.198.125.97		80
192.198.125.98		80
192.198.125.99		80
192.198.125.100		80
192.198.125.101		80
192.198.125.102		80
192.198.125.103		80
192.198.125.104		80
192.198.125.105		80
192.198.125.106		80
192.198.125.107		80
192.198.125.108		80
192.198.125.109		80
192.198.125.110		80
192.198.125.111		80
192.198.125.112		80
192.198.125.113		80
192.198.125.114		80
192.198.125.115		80
192.198.125.116		80
192.198.125.117		80
192.198.125.118		80
192.198.125.119		80
192.198.125.120		80
192.198.125.121		80
192.198.125.122		80
192.198.125.123		80
192.198.125.124		80
192.198.125.125		80
192.198.125.126		80
192.198.127.90		80
192.198.127.129		80
192.198.127.130		80
192.198.127.131		80
192.198.127.132		80
192.198.127.133		80
192.198.127.134		80
192.198.127.162		80
192.198.127.170		80
192.198.138.162		80
192.198.138.166		80
192.198.144.10		80
192.198.144.13		80
192.198.144.25		80
192.198.147.137		80
192.198.160.11		80
192.198.160.15		80
192.198.160.16		80
192.198.160.22		80
192.198.160.25		80
192.198.160.26		80
192.198.160.32		80
192.198.160.34		80
192.198.160.37		80
192.198.160.38		80
192.198.160.39		80
192.198.160.40		80
192.198.160.44		80
192.198.160.47		80
192.198.160.48		80
192.198.160.59		80
192.198.160.60		80
192.198.160.61		80
192.198.160.62		80
192.198.160.67		80
192.198.160.68		80
192.198.164.1		80
192.198.164.12		80
192.198.164.15		80
192.198.164.16		80
192.198.164.18		80
192.198.164.20		80
192.198.164.21		80
192.198.164.23		80
192.198.164.27		80
192.198.164.28		80
192.198.164.32		80
192.198.164.33		80
192.198.164.34		80
192.198.164.36		80
192.198.164.38		80
192.198.164.40		80
192.198.164.45		80
192.198.164.47		80
192.198.164.52		80
192.198.164.56		80
192.198.164.59		80
192.198.164.62		80
192.198.164.67		80
192.198.164.68		80
192.198.164.69		80
192.198.164.70		80
192.198.164.71		80
192.198.164.72		80
192.198.164.73		80
192.198.164.74		80
192.198.164.77		80
192.198.164.78		80
192.198.164.80		80
192.198.164.84		80
192.198.164.86		80
192.198.164.88		80
192.198.164.90		80
192.198.164.92		80
192.198.164.93		80
192.198.164.94		80
192.198.164.99		80
192.198.164.100		80
192.198.164.101		80
192.198.164.102		80
192.198.164.103		80
192.198.164.104		80
192.198.164.105		80
192.198.164.106		80
192.198.164.107		80
192.198.164.108		80
192.198.164.109		80
192.198.164.110		80
192.198.164.111		80
192.198.164.112		80
192.198.164.113		80
192.198.164.114		80
